gene,spearman_rho,p_value,q_value
H6pd,-0.17458533498927306,5.310558151468084e-32,5.329428155051981e-31
Celf1,-0.17457146332359,5.370725576985988e-32,5.362588113990554e-31
Cd164,-0.17418077635518014,7.373404671444824e-32,7.325236701229356e-31
Cyp2c50,-0.1737852028539497,1.0155359423769624e-31,1.0038572790396273e-30
Cltc,-0.17362717148511622,1.1538357224825323e-31,1.1348921509193862e-30
Mat2a,-0.17319056035254105,1.6408300257998465e-31,1.605901465844701e-30
Trf,-0.17304975237161196,1.8377840232937416e-31,1.7898024699762203e-30
Irf2bp2,-0.17301411150912605,1.8912501761135696e-31,1.832843920674768e-30
Egr1,-0.1729196844225114,2.040483259798404e-31,1.967822148595827e-30
Ahr,-0.17258458693607825,2.6707472674154565e-31,2.563139489165222e-30
Cyp7a1,-0.17224742119331898,3.499568315772554e-31,3.342341333469729e-30
Cyp2c54,-0.17204625067349988,4.110891578958475e-31,3.9073233901927434e-30
Son,-0.1711650909642959,8.302264795964394e-31,7.853386364412252e-30
Rbm26,-0.17107800418456498,8.897686067775257e-31,8.376535883805563e-30
Abcc2,-0.17018151277614718,1.8113503744216045e-30,1.697175208640527e-29
Klf10,-0.16992924258287645,2.2109114915578705e-30,2.0617792541556178e-29
Cyp4f15,-0.1696798760353082,2.6916091913892472e-30,2.4982682494725548e-29
Elovl2,-0.16960009248310262,2.8662933130594328e-30,2.6479728410834106e-29
Rnase4,-0.16957179563893032,2.9309132448399856e-30,2.6950769697900705e-29
Tmprss6,-0.16956469985150785,2.9473428962955133e-30,2.697637456470477e-29
Mug-ps1,-0.16947574932299606,3.161218804476969e-30,2.8800597126502153e-29
Vmp1,-0.16887478674013223,5.069511341772923e-30,4.5974421663692975e-29
Cyp4a12b,-0.16857452899313996,6.414468765368711e-30,5.790595775860248e-29
Mettl7b,-0.1685426386507755,6.576633253430739e-30,5.910001791832987e-29
Slc7a2,-0.16839992611384222,7.35361045556331e-30,6.578320303460934e-29
Rdh9,-0.16828533686945638,8.042844188951036e-30,7.162478811511801e-29
